5;1949;497,208;"56.890129534,53.2540828004;56.8887727691,53.2462829983"
7;8;625,007;"56.8897386883,53.2573894091;56.8875858969,53.2585249694;56.886460576,53.2586001584;56.8848157647,53.2584098579;56.8846001545,53.2583441513;56.8842127773,53.2583153027"
7;1954;614,899;"56.8897386883,53.2573894091;56.8875858969,53.2585249694;56.886460576,53.2586001584;56.88601512,53.2583211417;56.8857183099,53.2579910108;56.8853370232,53.257272082;56.8850453269,53.2561335724;56.8849982119,53.2559496792"
7;2215;602,561;"56.8897386883,53.2573894091;56.8875858969,53.2585249694;56.886460576,53.2586001584;56.88601512,53.2583211417;56.8857183099,53.2579910108;56.8853370232,53.257272082;56.8850453269,53.2561335724"
8;1957;545,04;"56.8842127773,53.2583153027;56.8793151684,53.2579505867"
10;5;342,238;"56.8894672776,53.2579291169;56.8904962333,53.2573518595;56.8906753371,53.2572499007;56.8906224893,53.2569334243;56.890129534,53.2540828004"
10;9;485,839;"56.8894672776,53.2579291169;56.8904962333,53.2573518595;56.8911990514,53.2615769058;56.8912459611,53.261914852;56.8914217737,53.2617915133;56.891911081,53.2615876856"
10;1946;483,707;"56.8894672776,53.2579291169;56.8904962333,53.2573518595;56.8911990514,53.2615769058;56.8912459611,53.261914852;56.8914438054,53.2630885009"
11;7;235,299;"56.8900005775,53.2546138844;56.8904374969,53.2570299932;56.8897386883,53.2573894091"
11;9;541,371;"56.8900005775,53.2546138844;56.8904374969,53.2570299932;56.8904962333,53.2573518595;56.8911990514,53.2615769058;56.8912459611,53.261914852;56.8914217737,53.2617915133;56.891911081,53.2615876856"
11;1946;539,239;"56.8900005775,53.2546138844;56.8904374969,53.2570299932;56.8904962333,53.2573518595;56.8911990514,53.2615769058;56.8912459611,53.261914852;56.8914438054,53.2630885009"
12;11;523,89;"56.8885529754,53.2464063369;56.889796837,53.2533932536;56.8900005775,53.2546138844"
41;42;452,494;"56.835811903,53.1159988953;56.8361363826,53.1163491484;56.8356406774,53.1178185628;56.8354935707,53.1180064458;56.8347665728,53.1184795039;56.834463683,53.1188839509;56.8339882685,53.1202973339;56.8337624028,53.1211418401"
42;114;304,787;"56.8337624028,53.1211418401;56.8335950666,53.1219174455;56.8335765392,53.1229365842;56.8336802337,53.1260877844"
42;124;929,876;"56.8337624028,53.1211418401;56.8335950666,53.1219174455;56.8335765392,53.1229365842;56.8336802337,53.1260877844;56.8336870156,53.1269569943;56.8294686789,53.1277507457;56.8294793935,53.1279736177;56.8295567552,53.1293976271"
43;46;817,778;"56.833834104,53.1263417381;56.8337056904,53.1229688338;56.8337592575,53.1219975753;56.8341554064,53.1204687325;56.8345985809,53.1191491073;56.8348627239,53.1187415417;56.8356785328,53.118097809;56.8363129098,53.1162609966;56.8370613526,53.1166332855"
43;119;910,163;"56.833834104,53.1263417381;56.8337056904,53.1229688338;56.8337592575,53.1219975753;56.8341554064,53.1204687325;56.8345985809,53.1191491073;56.8348627239,53.1187415417;56.8356785328,53.118097809;56.8363129098,53.1162609966;56.8363743417,53.1160202345;56.8371243468,53.1137278568"
44;41;532,113;"56.8325767816,53.1110996634;56.8325336262,53.1112297868;56.8323036667,53.1119390997;56.8322534503,53.1121051238;56.835811903,53.1159988953"
44;69;597,13;"56.8325767816,53.1110996634;56.8325336262,53.1112297868;56.8323036667,53.1119390997;56.8313452738,53.1111662667;56.8312532047,53.1109993025;56.8313182867,53.1106669449;56.8314910879,53.1099280488;56.8315011411,53.1096731755;56.8314812377,53.1094501072;56.8308239903,53.1082165444;56.8300869288,53.1074264522;56.8298410988,53.107268452;56.8293930597,53.1070658975;56.829155316,53.1069678567"
59;60;438,847;"56.8813665429,53.1921204257;56.8816279018,53.1893952964;56.8818422883,53.1873621394;56.8819010382,53.1868525252;56.8818922527,53.1865252689;56.8818568163,53.1863470432;56.8812646971,53.1861125458;56.8811370855,53.1860620077"
